title,director,year,country,critic_score,user_score,poster,rt_url
The Hypnotic Eye,George Blair,1960,United States,,30%,https://staticv2-4.rottentomatoes.com/static/images/redesign/poster_default.gif,https://rottentomatoes.com/m/771314189
Jigoku,Nobuo Nakagawa,1960,Japan,,60%,https://staticv2-4.rottentomatoes.com/static/images/redesign/poster_default.gif,https://rottentomatoes.com/m/jigoku
The Leech Woman,Edward Dein,1960,United States,,12%,https://resizing.flixster.com/tP0kge4iLqmBSkSoWtraQZ3e0_I=/206x305/v1.bTsxMTIzMjk0ODtqOzE3MzIwOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/leech_woman
The Little Shop of Horrors,Roger Corman,1960,United States,92,55%,https://resizing.flixster.com/svPlpI2Fspr6DrNEN2L5vghWo8w=/206x305/v1.bTsxMjMyNTQ0ODtqOzE3Mjg3OzEyMDA7Mjg0OzQwNQ,https://rottentomatoes.com/m/1012514-little_shop_of_horrors
Mill of the Stone Women,Giorgio Ferroni,1960,France & Italy,,55%,https://resizing.flixster.com/d5CRDmpCOx-cpO8BiIgwIMvp24w=/206x305/v1.bTsxMTYyMDI5MDtqOzE3MzI0OzEyMDA7NDU2OzY0OA,https://rottentomatoes.com/m/mill_of_the_stone_women
Peeping Tom,Michael Powell,1960,United Kingdom,,,,
The Playgirls and the Vampire,Piero Regnoli,1960,Italy,,,,
Psycho,Alfred Hitchcock,1960,United States,96,94%,https://resizing.flixster.com/utzMT_2Iog7iHJjzqV9uiFq-pbw=/206x305/v1.bTsxMTE3Nzc5NztqOzE3MzE5OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/psycho
The Stranglers of Bombay,Terence Fisher,1960,United Kingdom & United States,,,,
The Tell-Tale Heart,Ernest Morris,1960,United Kingdom,,,,
Tormented,Bert I. Gordon,1960,United States,,16%,https://resizing.flixster.com/sYBxPBFypecIYHEgH6yjo7QdZ40=/206x305/v1.bTsxMTIxOTIzOTtqOzE3MzE5OzEyMDA7MTUxMjsyMTM3,https://rottentomatoes.com/m/tormented
The Two Faces of Dr. Jekyll,Terence Fisher,1960,United States & United Kingdom,,54%,https://resizing.flixster.com/tTeAqhxsfYAqTBPWVE197t12abo=/206x305/v1.bTsxMjExMjkyNztqOzE3Mjg1OzEyMDA7Nzc7MTQw,https://rottentomatoes.com/m/two_faces_of_dr_jekyll
The Vampire and the Ballerina,Renato Polselli,1960,Italy,,,,
Village of the Damned,Wolf Rilla,1960,United Kingdom,96,76%,https://resizing.flixster.com/AmDWL_g_Gd7rpJLcYDoMq7uLMaM=/206x305/v1.bTsxMTI5NDg3NTtqOzE3MzIwOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/1022823-village_of_the_damned
The Witch's Curse,Guido Brignone,1960,Italy,,,,
The World of Vampires,Alfonso Corona Blake,1960,Mexico,,,https://staticv2-4.rottentomatoes.com/static/images/redesign/poster_default.gif,https://rottentomatoes.com/m/world_of_the_vampires
The Beast of Yucca Flats,Coleman Francis,1961,United States,,7%,https://resizing.flixster.com/xjhaqOcddivhJ4FI2AOkxLZjhCk=/206x305/v1.bTsxMTIxMzM3NTtqOzE3MzE5OzEyMDA7ODU4OzEyMTU,https://rottentomatoes.com/m/beast_of_yucca_flats
The Brainiac,Chano Urueta,1961,Mexico,,,,
Creature from the Haunted Sea,Roger Corman,1961,United States,,20%,https://resizing.flixster.com/nP_qz2ImhmnG9RxIJUxdweAxovo=/206x305/v1.bTsxMTIxNzc3MDtqOzE3MzE5OzEyMDA7MTkwODsyNTQ0,https://rottentomatoes.com/m/creature_from_the_haunted_sea
The Curse of the Crying Woman,Rafael Baledon,1961,Mexico,,,https://resizing.flixster.com/2Zl6M0tkTRt2ZMm9PhzxdcpINls=/206x305/v1.bTsxMjE0MjI2NjtqOzE3Mjg1OzEyMDA7MTQ0OzE3MQ,https://rottentomatoes.com/m/curse_of_the_crying_woman
The Curse of the Werewolf,Terence Fisher,1961,United Kingdom & United States,60,59%,https://resizing.flixster.com/lUcGQdXM_AAtVDxc2_e74GQtOBk=/206x305/v1.bTsxMjEwMzc4MTtqOzE3Mjg1OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/the_curse_of_the_werewolf
Doctor Blood's Coffin,Sidney J. Furie,1961,United Kingdom & United States,,5%,https://resizing.flixster.com/vKBpOlJdUiKXocG37eD5A1qJd9U=/206x305/v1.bTsxMjE5MTQ3NjtqOzE3Mjg2OzEyMDA7MTQ0OzE5Ng,https://rottentomatoes.com/m/doctor_bloods_coffin
Homicidal,William Castle,1961,United States,78,65%,https://resizing.flixster.com/R7YT1Vv09PzOpDrh5WZ4-QaLKH4=/206x305/v1.bTsxMTIxMTE2MjtqOzE3MzE5OzEyMDA7MjcwMDszNjAw,https://rottentomatoes.com/m/homicidal
The Innocents,Jack Clayton,1961,United Kingdom,96,86%,https://resizing.flixster.com/nuyWQ8h7C8ui9N8ZV4aOACJhaUs=/206x305/v1.bTsyODU2OTM7ajsxNzI4MzsxMjAwOzM1Mjs1MDA,https://rottentomatoes.com/m/1099622-innocents
Konga,John Lemont,1961,United Kingdom & United States,33,17%,https://resizing.flixster.com/0ntb3opV7pFvNMYKn9t5Msp32mA=/206x305/v1.bTsxMTIwOTI4MjtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/konga
Maciste in the Land of the Cyclops,Antonio Leonviola,1961,Italy,,,,
The Mask,Julian Roffman,1961,Canada,,,,
Mr. Sardonicus,William Castle,1961,United States,33,52%,https://resizing.flixster.com/j0wI30La9sVQWw13bHU_y5Sh7t4=/206x305/v1.bTsxMTIwNTkwNjtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/mr_sardonicus
The Pit and the Pendulum,Roger Corman,1961,United States,83,73%,https://resizing.flixster.com/CW67b_M2tvjQGLmeCRmmI6QJU0A=/206x305/v1.bTsxMTI5MjY3NTtqOzE3MzIwOzEyMDA7MTA0NzsxMzk2,https://rottentomatoes.com/m/1016369-pit_and_the_pendulum
Shadow of the Cat,John Gilling,1961,United Kingdom & United States,,50%,https://resizing.flixster.com/DdHhIeuSWiQeKVvdv7nQhSA-4GU=/206x305/v1.bTsxMjEwOTE4MDtqOzE3Mjg1OzEyMDA7MTkxNzsyOTI1,https://rottentomatoes.com/m/the_shadow_of_the_cat
Werewolf in a Girls' Dormitory,Paolo Heusch,1961,Italy,,11%,https://resizing.flixster.com/07yRkT8oQSN14tvSBqbl0ChUBPo=/206x305/v1.bTsxMTIzNjEwOTtqOzE3MzIwOzEyMDA7MTQ5MzsyMTI5,https://rottentomatoes.com/m/werewolf-in-a-girls-dormitory-lycanthropus
The Awful Dr. Orloff,Jes&uacute;s Franco,1962,France & Spain,,,,
The Brain That Wouldn't Die,Joseph Green,1962,United States,33,27%,https://resizing.flixster.com/OzEgIRaLDz52WAFexXrURftZaAA=/206x305/v1.bTsxMTI5Mjg4NTtqOzE3MzIwOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/brain-that-wouldnt-die
The Cabinet of Caligari,Roger Kay,1962,United States & United Kingdom,,24%,https://resizing.flixster.com/MzQltZ6ylSkmULyE2OagBBL4Jr0=/206x305/v1.bTsxMTIyNzE4MjtqOzE3MzE5OzEyMDA7MTYxNDsyMTUy,https://rottentomatoes.com/m/the_cabinet_of_caligari
Captain Clegg,Peter Graham Scott,1962,United Kingdom,,63%,https://resizing.flixster.com/u6FVdzNzL5-66Q5yXraCFDZM7wo=/206x305/v1.bTsxMjI3NzA0NDtqOzE3Mjg3OzEyMDA7MTk5ODsyNjY0,https://rottentomatoes.com/m/captain_clegg
Carnival of Souls,Herk Harvey,1962,United States,85,73%,https://resizing.flixster.com/cCrt6SSUMVU264x1XSZDiWOY4so=/206x305/v1.bTsxMTIxMTEzNztqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/carnival_of_souls
The Day of the Triffids,Steve Sekely,1962,United Kingdom,,,,
Hands of a Stranger,Newt Arnold,1962,United States,,14%,https://resizing.flixster.com/p3tJxdNzFqvHdzIfrFgBCzV4aWE=/206x305/v1.bTsxMTU0NDAyNztqOzE3MzIzOzEyMDA7NTk3OzEwODc,https://rottentomatoes.com/m/hands_of_a_stranger_1962
The Horrible Dr. Hichcock,Riccardo Freda,1962,Italy,,,,
Night of the Eagle,Sidney Hayers,1962,United Kingdom,75,68%,https://resizing.flixster.com/0sZHDJS3892C0YF9DemFLZFrnJw=/206x305/v1.bTsxMjExMDk5OTtqOzE3Mjg1OzEyMDA7NTk0OzEwNzg,https://rottentomatoes.com/m/burn_witch_burn
The Phantom of the Opera,Terence Fisher,1962,United Kingdom,,50%,https://resizing.flixster.com/GMMfL4QYnzt9FE3qqXUwqbFSCkY=/206x305/v1.bTsxMTYxOTgyNjtqOzE3MzI0OzEyMDA7NjA2OzgwOA,https://rottentomatoes.com/m/1059258-phantom_of_the_opera
The Premature Burial,Roger Corman,1962,United States,50,44%,https://resizing.flixster.com/k6GoyFFcyDPESUG1BNDEYaRmga8=/206x305/v1.bTsxMTYyMzc0NjtqOzE3MzI0OzEyMDA7Nzk4OzEwNjQ,https://rottentomatoes.com/m/the_premature_burial
The Sadistic Baron von Klaus,Jes&uacute;s Franco,1962,Spain & France,,33%,https://resizing.flixster.com/H_i-8i01Vre8eTTUHeEr9LPT8Xk=/206x305/v1.bTsxMjExMjc3OTtqOzE3Mjg1OzEyMDA7OTk7MTQw,https://rottentomatoes.com/m/sadistic_baron_von_klaus
Slaughter of the Vampires,Roberto Mauri,1962,Italy,,13%,https://resizing.flixster.com/f2EathQrDIZqBOYjfrNEr6lPS3s=/206x305/v1.bTsxMTU2NjgxNjtqOzE3MzIzOzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/slaughter_of_the_vampires
Tales of Terror,Roger Corman,1962,United States,71,62%,https://resizing.flixster.com/5G7EKGYltCPIHgCIlWRbJADOack=/206x305/v1.bTsxMTIxMTE2NDtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/1021067-terror
Tower of London,Roger Corman,1962,United States,,,,
At Midnight I'll Take Your Soul,Jos&eacute; Mojica Marins,1963,Brazil,,,,
The Birds,Alfred Hitchcock,1963,United States,96,83%,https://resizing.flixster.com/GxZ7EEFrNYrVv34kGQnL7BXqpHU=/206x305/v1.bTsxMTE3Nzc5NjtqOzE3MzE5OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/1002448-birds
Black Sabbath,Mario Bava,1963,Italy & France,87,76%,https://resizing.flixster.com/ZKI6Vb2R-uvyAT3-ohDD5WJtbyE=/206x305/v1.bTsxMTIxMDkyNztqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/black_sabbath
Black Zoo,Robert Gordon,1963,United States,,,https://resizing.flixster.com/aX9eH0XAhI9IgX-LW_vvhWQWh4Q=/206x305/v1.bTsxMjExMzQ5OTtqOzE3Mjg1OzEyMDA7MjEzOzMwNA,https://rottentomatoes.com/m/black_zoo
The Blancheville Monster,Alberto De Martino,1963,Italy & Spain,,10%,https://resizing.flixster.com/My6B4Sa4JcbYZtRdWkeVSaxi8cg=/206x305/v1.bTsxMTYxNzgyNztqOzE3MzI0OzEyMDA7MzUyOzUwMA,https://rottentomatoes.com/m/blancheville_monster
Blood Feast,Herschell Gordon Lewis,1963,United States,36,46%,https://resizing.flixster.com/DXE0zDUl2pDBeXuiZylxglVAo00=/206x305/v1.bTsxMjIwMjI2NjtqOzE3Mjg2OzEyMDA7MzUxOzQ3NQ,https://rottentomatoes.com/m/1002611-blood_feast
The Comedy of Terrors,Jacques Tourneur,1963,United States,,,,
Dementia 13,Francis Ford Coppola,1963,United States,67,36%,https://resizing.flixster.com/QWangnpmefEFKHzO8t5C6U605_4=/206x305/v1.bTsxMTYxNjMxMztqOzE3MzI0OzEyMDA7NzI5Ozk3Mg,https://rottentomatoes.com/m/dementia_13
Diary of a Madman,Reginald Le Borg,1963,United States,,55%,https://resizing.flixster.com/2QV_5a5tjQ_zy_d09m5hAgaUSoI=/206x305/v1.bTsxMTYxODY2NDtqOzE3MzI0OzEyMDA7NjYwOzg4MA,https://rottentomatoes.com/m/diary_of_a_madman
The Ghost,Riccardo Freda,1963,Italy,,,,
The Haunted Palace,Roger Corman,1963,United States,71,66%,https://resizing.flixster.com/NjlscDLCoV-u8FqYkR25tk5oo8Y=/206x305/v1.bTsxMTYxOTgzNjtqOzE3MzI0OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/haunted_palace
The Haunting,Robert Wise,1963,United Kingdom & United States,86,82%,https://resizing.flixster.com/i0yy1B1eLwK1Judlw6O0sXs2PaU=/206x305/v1.bTsxMTIwMzg0OTtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/1009277-haunting
House of the Damned,Maury Dexter,1963,United States,,27%,https://resizing.flixster.com/LDSaSJ2kxTWCfXWrcPl73p3srd8=/206x305/v1.bTsxMTIyMTgwNDtqOzE3MzE5OzEyMDA7MTUxNjsyMTQz,https://rottentomatoes.com/m/house_of_the_damned
Katarsis,Giuseppe Veggezzi,1963,Italy,,,,
The Kiss of the Vampire,Don Sharp,1963,United Kingdom & United States,83,64%,https://resizing.flixster.com/TK4G85an6Yofqo3QfyGgdV8FaKg=/206x305/v1.bTsxMjE5MDIzMTtqOzE3Mjg2OzEyMDA7ODQwOzExMjA,https://rottentomatoes.com/m/the_kiss_of_the_vampire
Matango,Ishirō Honda,1963,Japan,,67%,https://resizing.flixster.com/oG0KAMvhnJjt9hGX6rPeGSs8V-U=/206x305/v1.bTsxMjE4NjkxMDtqOzE3Mjg2OzEyMDA7MTEwOzE1MA,https://rottentomatoes.com/m/matango
The Old Dark House,William Castle,1963,United Kingdom & United States,,17%,https://resizing.flixster.com/j9OFIP5GPL8CfF5Wf37uBkvyW9w=/206x305/v1.bTsxMTIxOTA2OTtqOzE3MzE5OzEyMDA7ODk3OzExOTY,https://rottentomatoes.com/m/10003373-old_dark_house
Paranoiac,Freddie Francis,1963,United Kingdom & United States,,71%,https://resizing.flixster.com/EhMaP_ok_2LDtDPDSVrT-YQqDi4=/206x305/v1.bTs3ODk0MTUzO2o7MTcyODE7MTIwMDsxNDc7MjI1,https://rottentomatoes.com/m/paranoiac
The Raven,Roger Corman,1963,United States,92,64%,https://resizing.flixster.com/JsGRXx9ypMjhvWBSL1WKVcPHsrM=/206x305/v1.bTsxMTIxNTY1NztqOzE3MzE5OzEyMDA7MTIxNTsxNjIw,https://rottentomatoes.com/m/1017222-raven
Slime People,Robert Hutton,1963,United States,,,,
The Terror,Roger Corman,1963,United Kingdom & United States,36,22%,https://resizing.flixster.com/5-6sHg4PC-Q280Ua9Ai2oZavi84=/206x305/v1.bTsxMTI5NTYyNDtqOzE3MzIwOzEyMDA7MTIxODsyMjEz,https://rottentomatoes.com/m/the-terror-the-haunting-lady-of-the-shadows
Twice-Told Tales,Sidney Salkow,1963,United States,57,53%,https://resizing.flixster.com/F0OERZbVXdA2q1MzBfM9muSTY-Y=/206x305/v1.bTsxMTYyMzc0NDtqOzE3MzI0OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/twicetold_tales
The Virgin of Nuremberg,Antonio Margheriti,1963,Italy,,,,
The Whip and the Body,Mario Bava,1963,Italy & France,71,67%,https://resizing.flixster.com/qQVRUkXzQGEZyg7WDt9wRL5BVmE=/206x305/v1.bTsxMjMyNDYyMTtqOzE3Mjg3OzEyMDA7MTEwOzE1NA,https://rottentomatoes.com/m/whip_and_the_body
2000 Maniacs,Herschell Gordon Lewis,1964,United States,36,49%,https://resizing.flixster.com/Ilck_mkaGqf06GzYWHb2wKifteg=/206x305/v1.bTsxMTIxMTE0NztqOzE3MzE5OzEyMDA7MTIwMDsxNjAw,https://rottentomatoes.com/m/2000_maniacs
The Black Torment,Robert Hartford-Davis,1964,United Kingdom,,,,
Blood and Black Lace,Mario Bava,1964,Italy & France & West Germany,,,,
Castle of Blood,Antonio Margheriti,1964,Italy & France,,66%,https://resizing.flixster.com/T28IyxtEwD5miELQVboi2nuFh1E=/206x305/v1.bTsxMjEwMDA0NztqOzE3Mjg1OzEyMDA7MTUyNTsyMTYx,https://rottentomatoes.com/m/castle_of_blood
Castle of the Living Dead,Warren Kiefer,1964,Italy & France,,17%,https://resizing.flixster.com/EJxukZtTdAF6S9PG1UteVgAJsKI=/206x305/v1.bTsxMTU1MDAyNztqOzE3MzIzOzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/castle_of_the_living_dead
Cien Gritos de Terror,Ram&oacute;n Obon,1964,United States,,,,
The Creeping Terror,Art J. Nelson,1964,United States,,13%,https://resizing.flixster.com/41Q6Ta-NGC5_5bfYKEKUchzzFD8=/206x305/v1.bTsxMTIxNjk4ODtqOzE3MzE5OzEyMDA7MTI4MDs3MjA,https://rottentomatoes.com/m/the-creeping-terror-dangerous-charter-the-crawling-monster
The Curse of the Living Corpse,Del Tenney,1964,United States,,17%,https://resizing.flixster.com/z3ZLypFOpP_FEgknJgTYCLOTgVs=/206x305/v1.bTsxMTMwMjY0OTtqOzE3MzIwOzEyMDA7MTI4MDs3MjA,https://rottentomatoes.com/m/the_curse_of_the_living_corpse
The Curse of the Mummy's Tomb,Michael Carreras,1964,United Kingdom,,31%,https://resizing.flixster.com/vmxQf717UkCY3moYK6dv3ib3X1s=/206x305/v1.bTs1MjQ0Mjc2O2o7MTcyOTU7MTIwMDszNTA7NTcy,https://rottentomatoes.com/m/the_curse_of_the_mummys_tomb
Devil Doll,Lindsay Shonteff,1964,United Kingdom & United States,20,29%,https://resizing.flixster.com/F6XJH9DrxiMRsCpf6Kvlt5bsSPM=/206x305/v1.bTsxMTIxOTI0MztqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/1005762-devil_doll
Dr. Orloff's Monster,Jes&uacute;s Franco,1964,Austria & Spain,,,,
Dungeon of Harrow,Pat Boyette,1964,United States,,7%,https://resizing.flixster.com/buJGb1x6z7FfV8U_gdg9zDis3J8=/206x305/v1.bTsxMTI5NDYyNDtqOzE3MzIwOzEyMDA7MTE3ODsxNjAw,https://rottentomatoes.com/m/dungeon_of_harrow
The Evil of Frankenstein,Freddie Francis,1964,United Kingdom,50,37%,https://resizing.flixster.com/nkMtG4imhEgTPY7bwpRj94d9fts=/206x305/v1.bTsxMjEwNDk5NztqOzE3Mjg1OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/the_evil_of_frankenstein
Face of the Screaming Werewolf,Jerry Warren,1964,United States,,,,
The Flesh Eaters,Jack Curtis,1964,United States,,46%,https://resizing.flixster.com/_tnyrjTqDhsG1dC_i4ZPZuUDRz0=/206x305/v1.bTsxMTIxMDkxODtqOzE3MzE5OzEyMDA7MTQ5NzsyMTEz,https://rottentomatoes.com/m/flesh_eaters
Der Fluch der Gruenen Augen,Akos von Ratony,1964,West Germany & Socialist Federal Republic of Yugoslavia,,,,
The Gorgon,Terence Fisher,1964,United Kingdom,,,,
The Horror of Party Beach,Del Tenney,1964,United States,0,27%,https://resizing.flixster.com/1NNH-xthnHOiIPlbTC9Eiic7uZY=/206x305/v1.bTsxMTYyMDQ2MztqOzE3MzI0OzEyMDA7NTY1Ozc1MA,https://rottentomatoes.com/m/horror_of_party_beach
I Eat Your Skin,Del Tenney,1964,United States,,,,
The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies,Ray Dennis Steckler,1964,United States,,,,
Kwaidan,Masaki Kobayashi,1964,Japan,85,90%,https://resizing.flixster.com/j2KSyI1yw_B98xngZ6HjJKhm9q4=/206x305/v1.bTsxMTYxNjQ3MjtqOzE3MzI0OzEyMDA7MzUwOzUwMA,https://rottentomatoes.com/m/kwaidan
The Last Man on Earth,Sidney Salkow,1964,Italy & United States,71,69%,https://resizing.flixster.com/uE8wGGkhw4M7dmiEyD7XGin4-Uc=/206x305/v1.bTsxMTIwNTI3ODtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/1050388-last_man_on_earth
The Long Hair of Death,Antonio Margheriti,1964,Italy,,35%,https://resizing.flixster.com/gDuItmRje0UknoA_A2LkqZR0zKE=/206x305/v1.bTsxMjExNTk1MDtqOzE3Mjg1OzEyMDA7MTEwOzE1NA,https://rottentomatoes.com/m/the_long_hair_of_death
Las Luchadoras contra la Momia,Ren&eacute; Cardona,1964,Mexico,,,,
The Masque of the Red Death,Roger Corman,1964,United Kingdom & United States,,,,
Monstrosity,Joseph Mascelli,1964,United States,,,,
The Night Walker,William Castle,1964,United States,,53%,https://resizing.flixster.com/r2bBeobEGBG_EvDmC0E3pz4hCk4=/206x305/v1.bTsxMTYyMTc2MDtqOzE3MzI0OzEyMDA7NjAwOzEwOTk,https://rottentomatoes.com/m/the_night_walker
Onibaba,Kaneto Shindo,1964,Japan,,,,
Pyro... The Thing Without a Face,Julio Coll,1964,Spain & United States,,,,
Strait-Jacket,William Castle,1964,United States,80,66%,https://resizing.flixster.com/WbrKBX9dqVoiT3cd6zYyldI4X_M=/206x305/v1.bTsxMTIxMTg4MztqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/straitjacket
Terror in the Crypt,Camillo Mastrocinque,1964,Italy & Spain,,41%,https://resizing.flixster.com/S-KFc3dX7hO1W-KiLp4bcuHKzas=/206x305/v1.bTsxMTU0OTQzMztqOzE3MzIzOzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/terror_in_the_crypt
The Tomb of Ligeia,Roger Corman,1964,United Kingdom & United States,,,,
War of the Zombies,Giuseppe Vari,1964,Italy,,,,
Witchcraft,Don Sharp,1964,United Kingdom,,53%,https://resizing.flixster.com/oHAT3quDJTq_VZB7oqk4sYO4Q58=/206x305/v1.bTsxMjExMjUyNTtqOzE3Mjg1OzEyMDA7MTAwOzEzNw,https://rottentomatoes.com/m/witchcraft
The Beach Girls and the Monster,Jon Hall,1965,United States,,38%,https://resizing.flixster.com/LekpzhCUDw46FqiOtaDIfZcdIlI=/206x305/v1.bTsxMTIyODM1MztqOzE3MzE5OzEyMDA7MTIxNTsxNzIy,https://rottentomatoes.com/m/beach_girls_and_the_monster
The Beast That Killed Women,Barry Mahon,1965,United States,,,,
Bloody Pit of Horror,Massimo Pupillo,1965,Italy & United States,,21%,https://resizing.flixster.com/7m1JKHMapVxqbxm_1CtG9AyziCQ=/206x305/v1.bTsxMTIyMDQ3NztqOzE3MzE5OzEyMDA7OTAwOzEyODY,https://rottentomatoes.com/m/bloody_pit_of_horror
Color Me Blood Red,Herschell Gordon Lewis,1965,,,,,
Curse of Simba,Lindsay Shonteff,1965,United States & United Kingdom,,,https://resizing.flixster.com/Vf8JP562nrESQrjUCnjstN3-vMo=/206x305/v1.bTsxMDkxMzAzMTtqOzE3MzE2OzEyMDA7MTEwOzE1MQ,https://rottentomatoes.com/m/curse_of_the_voodoo
Curse of the Fly,Don Sharp,1965,United Kingdom,,18%,https://resizing.flixster.com/q4T5vksdd_bb5zp0kv78TTjsN94=/206x305/v1.bTs5MjkzMTM2O2o7MTcyOTc7MTIwMDsyMDA7Mjg2,https://rottentomatoes.com/m/curse_of_the_fly
Dark Intruder,Harvey Hart,1965,United States,,,,
A Devilish Homicide,Lee Yong-min,1965,South Korea,,,,
Devils of Darkness,Lance Comfort,1965,United Kingdom,,,,
"Die, Monster, Die!",Daniel Haller,1965,United States & United Kingdom,71,40%,https://resizing.flixster.com/unaT6jOZrtUUka4tr_iOsGDkEh8=/206x305/v1.bTsxMjEwNTk1OTtqOzE3Mjg1OzEyMDA7Njc4OzkwNA,https://rottentomatoes.com/m/die_monster_die
Dr. Terror's House of Horrors,Freddie Francis,1965,United Kingdom & United States,,62%,https://resizing.flixster.com/AVmVKW0whDZGG8aPZNdFbywaQlI=/206x305/v1.bTsxMTYyMDY3MDtqOzE3MzI0OzEyMDA7NTAwOzgwMA,https://rottentomatoes.com/m/dr_terrors_house_of_horrors
The Embalmer,Dino Tavella,1965,Italy,,,,
